                  FRECUENCIA DE PALABRAS
================================================================================
PALABRA                     FRECUENCIA
CERCA                         1
ESCUCHO                       1
JACTANCIOSO                   1
ABALANZO                      1
SOBRE                         1
ATRAPANDOLO                   1
GARRAS                        1
DERROTADO                     1
DESDE                         1
REGRESO                       1
QUEDO                         1
GALLINAS                      1
TANTO                         1
LAMENTABA                     1
ARROYO                        1
LUCHO                         1
VANO                          1
E                             1
COMPADECIDA                   1
DEJO                          1
DULCE                         1
ARBOL                         1
JUNTO                         1
AFERRANDOSE                   1
MARINERO                      1
NAUFRAGO                      1
FLOTO                         1
SALVO                         1
HASTA                         1
AGRADECIDA                    1
SALVARLE                      1
VIDA                          1
SIGUIENTE                     1
ACEPTO                        1
APUNTANDO                     1
PIEDRA                        1
PENSARLO                      1
VECES                         1
METIO                         1
DENTRO                        1
ZAPATO                        1
PICO                          1
PIE                           1
HACIENDOLO                    1
PERDER                        1
TIRO                          1
--------------------------------------------------------------------------------
Total  318 palabras
